N_W_m N_L_m P_W_m P_L_m VCM NFmin_dB NF_dB Rn SOpt_real SOpt_imag
0.22e-6 0.28e-6 2e-6 0.36e-6 0.70 0.0590189 30.425 55089.5 0.999974 0.00515109
0.22e-6 0.28e-6 2e-6 0.36e-6 0.75 0.0458279 28.3247 33946.6 0.999971 0.00510996
0.22e-6 0.28e-6 2e-6 0.36e-6 0.80 0.0323379 25.5431 17867.5 0.999967 0.00492504
0.22e-6 0.28e-6 2e-6 0.36e-6 0.85 0.0237757 23.1835 10356.8 0.999965 0.00421648
0.22e-6 0.28e-6 2e-6 0.36e-6 0.90 0.0347075 26.636 22994.4 0.999974 0.00418034
0.22e-6 0.28e-6 2e-6 0.36e-6 0.95 0.0510752 30.2192 52538.7 0.99998 0.00413945
0.22e-6 0.28e-6 2e-6 0.36e-6 1.00 0.0714025 33.4955 111770 0.999984 0.00404465
0.22e-6 0.28e-6 2e-6 0.36e-6 1.05 0.0887468 35.93 195822 0.999987 0.0039054
0.22e-6 0.28e-6 2e-6 0.36e-6 1.10 0.0961892 37.411 275419 0.999989 0.00371666
0.22e-6 0.28e-6 2e-6 0.36e-6 1.15 0.0981688 38.6395 365473 0.999991 0.00348346
0.22e-6 0.28e-6 2e-6 0.50e-6 0.55 0.0779337 30.3643 54324.7 0.99996 0.00681339
0.22e-6 0.28e-6 2e-6 0.50e-6 0.60 0.072616 29.7703 47373.6 0.999959 0.00682262
0.22e-6 0.28e-6 2e-6 0.50e-6 0.65 0.0651336 28.8605 38410.1 0.999957 0.00682118
0.22e-6 0.28e-6 2e-6 0.50e-6 0.70 0.0555873 27.5599 28457.1 0.999955 0.00678815
0.22e-6 0.28e-6 2e-6 0.50e-6 0.75 0.0442444 25.7584 18778.2 0.999951 0.00664179
0.22e-6 0.28e-6 2e-6 0.50e-6 0.80 0.033669 23.6926 11651.1 0.999951 0.00557123
0.22e-6 0.28e-6 2e-6 0.50e-6 0.85 0.0459482 26.5629 22610.1 0.999961 0.00549541
0.22e-6 0.28e-6 2e-6 0.50e-6 0.90 0.0642624 29.6928 46535.5 0.999969 0.00546044
0.22e-6 0.28e-6 2e-6 0.50e-6 0.95 0.0815454 32.0879 80813.7 0.999974 0.00536199
0.22e-6 0.28e-6 2e-6 0.50e-6 1.00 0.0938067 33.8008 119913 0.999977 0.00520639
0.22e-6 0.28e-6 2e-6 0.50e-6 1.05 0.0993006 35.0237 158926 0.99998 0.00498777
0.22e-6 0.28e-6 2e-6 0.50e-6 1.10 0.100973 36.2047 208610 0.999983 0.00470247
0.22e-6 0.28e-6 2e-6 0.50e-6 1.15 0.101277 37.6073 288156 0.999986 0.00436784
0.22e-6 0.28e-6 10e-6 0.28e-6 0.55 0.109531 30.6722 58312.2 0.999728 0.0223958
0.22e-6 0.28e-6 10e-6 0.28e-6 0.60 0.104385 30.2728 53184.7 0.999727 0.0223792
0.22e-6 0.28e-6 10e-6 0.28e-6 0.65 0.0985327 29.7943 47631.4 0.999726 0.0223514
0.22e-6 0.28e-6 10e-6 0.28e-6 0.70 0.0917875 29.2112 41640.8 0.999726 0.0223026
0.22e-6 0.28e-6 10e-6 0.28e-6 0.75 0.0839482 28.4857 35226.4 0.999726 0.0222234
0.22e-6 0.28e-6 10e-6 0.28e-6 0.80 0.0746906 27.5466 28367.2 0.999725 0.0221012
0.22e-6 0.28e-6 10e-6 0.28e-6 0.85 0.0634804 26.2532 21047.6 0.999725 0.0219091
0.22e-6 0.28e-6 10e-6 0.28e-6 0.90 0.0496247 24.3192 13465.8 0.999725 0.0215717
0.22e-6 0.28e-6 10e-6 0.28e-6 0.95 0.0328657 21.1765 6505.08 0.999729 0.0206441
0.22e-6 0.28e-6 10e-6 0.28e-6 1.00 0.0241156 19.0586 3975.3 0.999774 0.0176596
0.22e-6 0.28e-6 10e-6 0.28e-6 1.05 0.0334139 22.2896 8420.26 0.999806 0.0172039
0.22e-6 0.28e-6 10e-6 0.28e-6 1.10 0.0440014 25.2928 16863 0.999832 0.0165848
0.22e-6 0.28e-6 10e-6 0.28e-6 1.15 0.047977 26.9349 24635.2 0.999853 0.0157641
0.22e-6 0.28e-6 10e-6 0.36e-6 0.55 0.0950455 27.6163 28824.6 0.999593 0.0271737
0.22e-6 0.28e-6 10e-6 0.36e-6 0.60 0.0902897 27.1985 26176.4 0.999592 0.0271381
