N_W_m N_L_m P_W_m P_L_m VCM NFmin_dB NF_dB Rn SOpt_real SOpt_imag
0.22e-6 0.50e-6 30e-6 0.36e-6 0.95 0.0412294 16.6048 2234.65 0.996829 0.07687
0.22e-6 0.50e-6 30e-6 0.36e-6 1.00 0.0302192 14.5733 1381.32 0.99705 0.0734026
0.22e-6 0.50e-6 30e-6 0.36e-6 1.05 0.0313632 15.8476 1870.16 0.997975 0.0604919
0.22e-6 0.50e-6 30e-6 0.36e-6 1.10 0.02737 15.6002 1764.01 0.998163 0.0575732
0.22e-6 0.50e-6 30e-6 0.36e-6 1.15 0.023474 15.5529 1744.54 0.998387 0.053983
0.22e-6 0.50e-6 30e-6 0.50e-6 0.55 0.0804745 19.0477 3954.19 0.99405 0.106761
0.22e-6 0.50e-6 30e-6 0.50e-6 0.60 0.0762552 18.622 3580.39 0.994064 0.106523
0.22e-6 0.50e-6 30e-6 0.50e-6 0.65 0.0717336 18.1415 3200.14 0.994083 0.106232
0.22e-6 0.50e-6 30e-6 0.50e-6 0.70 0.0668469 17.5918 2813.85 0.994108 0.105849
0.22e-6 0.50e-6 30e-6 0.50e-6 0.75 0.0614994 16.9519 2421.58 0.994146 0.105316
0.22e-6 0.50e-6 30e-6 0.50e-6 0.80 0.055565 16.1895 2023.72 0.994203 0.104549
0.22e-6 0.50e-6 30e-6 0.50e-6 0.85 0.0488842 15.2532 1621.69 0.994291 0.103413
0.22e-6 0.50e-6 30e-6 0.50e-6 0.90 0.0412461 14.056 1219.07 0.994429 0.101661
0.22e-6 0.50e-6 30e-6 0.50e-6 0.95 0.0324397 12.4621 829.374 0.994671 0.0986564
0.22e-6 0.50e-6 30e-6 0.50e-6 1.00 0.0333727 13.5745 1086.93 0.996372 0.0808598
0.22e-6 0.50e-6 30e-6 0.50e-6 1.05 0.0294964 13.3486 1029.5 0.996736 0.0765397
0.22e-6 0.50e-6 30e-6 0.50e-6 1.10 0.0250687 13.1235 975.128 0.997098 0.0721371
0.22e-6 0.50e-6 30e-6 0.50e-6 1.15 0.0226286 13.7896 1145.25 0.99752 0.0670811
1e-6 0.28e-6 0.66e-6 0.28e-6 0.55 0.0662723 37.2909 267901 0.999995 0.00194146
1e-6 0.28e-6 0.66e-6 0.28e-6 0.60 0.0411832 32.7996 95214.4 0.999993 0.00204668
1e-6 0.28e-6 0.66e-6 0.28e-6 0.65 0.025573 28.1842 32864.8 0.999989 0.00217243
1e-6 0.28e-6 0.66e-6 0.28e-6 0.70 0.0172983 24.3693 13624.1 0.999983 0.00225982
1e-6 0.28e-6 0.66e-6 0.28e-6 0.75 0.013531 21.9522 7787.77 0.999978 0.00219945
1e-6 0.28e-6 0.66e-6 0.28e-6 0.80 0.0204355 25.1751 16412.1 0.999983 0.00235282
1e-6 0.28e-6 0.66e-6 0.28e-6 0.85 0.0361278 29.7551 47208.4 0.999988 0.00258746
1e-6 0.28e-6 0.66e-6 0.28e-6 0.90 0.0555886 33.2504 105635 0.99999 0.00268049
1e-6 0.28e-6 0.66e-6 0.28e-6 0.95 0.0792397 36.2253 209603 0.999992 0.00271677
1e-6 0.28e-6 0.66e-6 0.28e-6 1.00 0.107301 38.8432 383029 0.999993 0.00272661
1e-6 0.28e-6 0.66e-6 0.28e-6 1.05 0.135989 40.9489 622041 0.999994 0.00271923
1e-6 0.28e-6 0.66e-6 0.28e-6 1.10 0.1572 42.3123 851472 0.999994 0.00269652
1e-6 0.28e-6 0.66e-6 0.28e-6 1.15 0.168904 43.0942 1.01945E+06 0.999995 0.00265842
1e-6 0.28e-6 0.66e-6 0.36e-6 0.55 0.0626062 35.2316 166725 0.999993 0.0022578
1e-6 0.28e-6 0.66e-6 0.36e-6 0.60 0.0408439 31.2942 67307.7 0.99999 0.00235975
1e-6 0.28e-6 0.66e-6 0.36e-6 0.65 0.0256037 26.959 24774.1 0.999985 0.00247096
1e-6 0.28e-6 0.66e-6 0.36e-6 0.70 0.0168211 23.1053 10171.1 0.999978 0.00237073
1e-6 0.28e-6 0.66e-6 0.36e-6 0.75 0.020493 24.6042 14384.1 0.999981 0.00245591
1e-6 0.28e-6 0.66e-6 0.36e-6 0.80 0.0407741 30.2052 52368.8 0.999987 0.00272661
1e-6 0.28e-6 0.66e-6 0.36e-6 0.85 0.0654322 34.0214 126165 0.99999 0.00286768
1e-6 0.28e-6 0.66e-6 0.36e-6 0.90 0.0924573 36.9009 244887 0.999991 0.00292691
1e-6 0.28e-6 0.66e-6 0.36e-6 0.95 0.119219 39.0988 406248 0.999992 0.002948
1e-6 0.28e-6 0.66e-6 0.36e-6 1.00 0.141537 40.6678 583063 0.999993 0.00294316
1e-6 0.28e-6 0.66e-6 0.36e-6 1.05 0.156271 41.6862 737153 0.999993 0.00291723
1e-6 0.28e-6 0.66e-6 0.36e-6 1.10 0.164946 42.3932 867484 0.999994 0.00287093
1e-6 0.28e-6 0.66e-6 0.36e-6 1.15 0.171109 43.0156 1.00117E+06 0.999994 0.00280606
1e-6 0.28e-6 0.66e-6 0.50e-6 0.55 0.0596524 32.5841 90602 0.999988 0.00281316
1e-6 0.28e-6 0.66e-6 0.50e-6 0.60 0.0425387 29.5499 45027.1 0.999985 0.00290754
1e-6 0.28e-6 0.66e-6 0.50e-6 0.65 0.027616 25.7547 18762.1 0.999979 0.00295996
1e-6 0.28e-6 0.66e-6 0.50e-6 0.70 0.0235152 24.2696 13313.6 0.999976 0.00278283
1e-6 0.28e-6 0.66e-6 0.50e-6 0.75 0.0440374 29.5166 44683.3 0.999984 0.00299055
1e-6 0.28e-6 0.66e-6 0.50e-6 0.80 0.0735868 33.7314 118012 0.999988 0.00320742
1e-6 0.28e-6 0.66e-6 0.50e-6 0.85 0.102267 36.4675 221624 0.999989 0.00330809
1e-6 0.28e-6 0.66e-6 0.50e-6 0.90 0.126528 38.3153 339182 0.99999 0.00335151
1e-6 0.28e-6 0.66e-6 0.50e-6 0.95 0.144986 39.5967 455612 0.999991 0.00335844
1e-6 0.28e-6 0.66e-6 0.50e-6 1.00 0.157495 40.5193 563457 0.999991 0.00333502
1e-6 0.28e-6 0.66e-6 0.50e-6 1.05 0.165289 41.2556 667562 0.999992 0.0032842
1e-6 0.28e-6 0.66e-6 0.50e-6 1.10 0.170251 41.948 782969 0.999992 0.00320663
1e-6 0.28e-6 0.66e-6 0.50e-6 1.15 0.174032 42.664 923301 0.999993 0.00310729
1e-6 0.28e-6 2e-6 0.28e-6 0.55 0.0948037 36.1153 204358 0.999982 0.00499983
1e-6 0.28e-6 2e-6 0.28e-6 0.60 0.07612 34.0853 128036 0.99998 0.00509962
1e-6 0.28e-6 2e-6 0.28e-6 0.65 0.0528908 30.7421 59266.9 0.999976 0.00522159
1e-6 0.28e-6 2e-6 0.28e-6 0.70 0.0357936 27.1681 25998.1 0.99997 0.00533023
1e-6 0.28e-6 2e-6 0.28e-6 0.75 0.0244636 23.7817 11893.8 0.999962 0.00536278
1e-6 0.28e-6 2e-6 0.28e-6 0.80 0.0156229 19.9812 4928.37 0.999951 0.00490535
1e-6 0.28e-6 2e-6 0.28e-6 0.85 0.016641 20.5368 5607.78 0.999954 0.00485216
1e-6 0.28e-6 2e-6 0.28e-6 0.90 0.0281845 25.0306 15873.2 0.999967 0.00507745
1e-6 0.28e-6 2e-6 0.28e-6 0.95 0.0433342 28.7445 37397.2 0.999973 0.00514099
1e-6 0.28e-6 2e-6 0.28e-6 1.00 0.0651175 32.3723 86287.7 0.999978 0.00511906
1e-6 0.28e-6 2e-6 0.28e-6 1.05 0.0947885 35.8222 191018 0.999982 0.00505459
1e-6 0.28e-6 2e-6 0.28e-6 1.10 0.122025 38.3095 338732 0.999984 0.00494974
1e-6 0.28e-6 2e-6 0.28e-6 1.15 0.135652 39.6323 459356 0.999985 0.0048028
1e-6 0.28e-6 2e-6 0.36e-6 0.55 0.0844546 33.3721 108637 0.999973 0.00595822
1e-6 0.28e-6 2e-6 0.36e-6 0.60 0.0706169 31.7509 74776.9 0.999971 0.00605301
1e-6 0.28e-6 2e-6 0.36e-6 0.65 0.051177 28.8608 38413.2 0.999966 0.00616504
1e-6 0.28e-6 2e-6 0.36e-6 0.70 0.0349265 25.4823 17618.2 0.999958 0.00624201
1e-6 0.28e-6 2e-6 0.36e-6 0.75 0.0229021 21.9359 7758.33 0.999948 0.00602686
1e-6 0.28e-6 2e-6 0.36e-6 0.80 0.0201511 20.9038 6106.64 0.999947 0.0055387
1e-6 0.28e-6 2e-6 0.36e-6 0.85 0.0359897 25.8879 19348.1 0.999962 0.0057545
1e-6 0.28e-6 2e-6 0.36e-6 0.90 0.0563064 29.7799 47478.7 0.999969 0.00584631
1e-6 0.28e-6 2e-6 0.36e-6 0.95 0.0814698 33.1088 102242 0.999974 0.00583059
1e-6 0.28e-6 2e-6 0.36e-6 1.00 0.107953 35.7947 189810 0.999977 0.00575664
1e-6 0.28e-6 2e-6 0.36e-6 1.05 0.126324 37.5313 283155 0.999979 0.0056311
1e-6 0.28e-6 2e-6 0.36e-6 1.10 0.134662 38.6072 362768 0.999981 0.00545171
1e-6 0.28e-6 2e-6 0.36e-6 1.15 0.138916 39.5355 449228 0.999983 0.00522532
1e-6 0.28e-6 2e-6 0.50e-6 0.55 0.0739786 29.8388 48126.9 0.999953 0.00764157
1e-6 0.28e-6 2e-6 0.50e-6 0.60 0.0653789 28.7485 37431 0.99995 0.00772757
1e-6 0.28e-6 2e-6 0.50e-6 0.65 0.0510649 26.5922 22763.2 0.999944 0.0078177
1e-6 0.28e-6 2e-6 0.50e-6 0.70 0.0362207 23.6945 11656.1 0.999934 0.007782
1e-6 0.28e-6 2e-6 0.50e-6 0.75 0.0272278 21.3896 6835.4 0.999931 0.00682332
1e-6 0.28e-6 2e-6 0.50e-6 0.80 0.0433818 25.4594 17525.3 0.999947 0.00694362
1e-6 0.28e-6 2e-6 0.50e-6 0.85 0.0683409 29.4454 43955.3 0.999957 0.00710827
1e-6 0.28e-6 2e-6 0.50e-6 0.90 0.0936228 32.309 85036.8 0.999962 0.00711842
1e-6 0.28e-6 2e-6 0.50e-6 0.95 0.115475 34.3744 136852 0.999965 0.00705305
1e-6 0.28e-6 2e-6 0.50e-6 1.00 0.129898 35.7859 189427 0.999968 0.00691837
1e-6 0.28e-6 2e-6 0.50e-6 1.05 0.137093 36.8243 240607 0.999971 0.00671329
1e-6 0.28e-6 2e-6 0.50e-6 1.10 0.140345 37.8112 302008 0.999974 0.00643729
1e-6 0.28e-6 2e-6 0.50e-6 1.15 0.142152 38.893 387441 0.999977 0.00610949
1e-6 0.28e-6 10e-6 0.28e-6 0.55 0.107928 30.5048 56105.3 0.999708 0.0232225
1e-6 0.28e-6 10e-6 0.28e-6 0.60 0.102 30.0108 50067.9 0.999705 0.0232849
1e-6 0.28e-6 10e-6 0.28e-6 0.65 0.093519 29.2428 41944.6 0.999701 0.0233625
1e-6 0.28e-6 10e-6 0.28e-6 0.70 0.0817691 28.0648 31967.8 0.999696 0.0234206
1e-6 0.28e-6 10e-6 0.28e-6 0.75 0.0677361 26.4428 21989.1 0.99969 0.0234206
1e-6 0.28e-6 10e-6 0.28e-6 0.80 0.052751 24.3374 13522.3 0.999683 0.0233212
1e-6 0.28e-6 10e-6 0.28e-6 0.85 0.0374929 21.5443 7084.16 0.999675 0.0229989
1e-6 0.28e-6 10e-6 0.28e-6 0.90 0.0219691 17.3118 2642.16 0.999681 0.0211119
1e-6 0.28e-6 10e-6 0.28e-6 0.95 0.0204205 16.9716 2439.35 0.999716 0.0193949
1e-6 0.28e-6 10e-6 0.28e-6 1.00 0.0319877 21.0568 6326.89 0.999755 0.0193316
1e-6 0.28e-6 10e-6 0.28e-6 1.05 0.0491376 25.1277 16231.7 0.999786 0.0189323
1e-6 0.28e-6 10e-6 0.28e-6 1.10 0.0680729 28.4989 35335.5 0.99981 0.0183186
1e-6 0.28e-6 10e-6 0.28e-6 1.15 0.0775733 30.3977 54740.3 0.99983 0.0175039
1e-6 0.28e-6 10e-6 0.36e-6 0.55 0.0938939 27.4847 27962.7 0.999569 0.0279995
1e-6 0.28e-6 10e-6 0.36e-6 0.60 0.0887592 27.0098 25060.9 0.999566 0.0280425
1e-6 0.28e-6 10e-6 0.36e-6 0.65 0.0819422 26.3269 21407.1 0.999561 0.0280934
1e-6 0.28e-6 10e-6 0.36e-6 0.70 0.0726208 25.2998 16888 0.999555 0.0281108
1e-6 0.28e-6 10e-6 0.36e-6 0.75 0.060876 23.8252 12011.5 0.999549 0.028038
1e-6 0.28e-6 10e-6 0.36e-6 0.80 0.0471478 21.7452 7421.43 0.999542 0.0277577
1e-6 0.28e-6 10e-6 0.36e-6 0.85 0.0316094 18.6302 3596.87 0.99955 0.0264025
1e-6 0.28e-6 10e-6 0.36e-6 0.90 0.0273366 17.71 2900.62 0.999625 0.0230978
1e-6 0.28e-6 10e-6 0.36e-6 0.95 0.0428433 21.8248 7560.06 0.99967 0.0229875
1e-6 0.28e-6 10e-6 0.36e-6 1.00 0.0605293 25.2062 16528 0.999704 0.0225098
1e-6 0.28e-6 10e-6 0.36e-6 1.05 0.0739751 27.5364 28300.5 0.999733 0.0217731
1e-6 0.28e-6 10e-6 0.36e-6 1.10 0.0789084 28.9411 39127.3 0.999761 0.0207824
1e-6 0.28e-6 10e-6 0.36e-6 1.15 0.0801875 30.2034 52342.6 0.999791 0.0195831
1e-6 0.28e-6 10e-6 0.50e-6 0.55 0.079834 23.641 11509.1 0.999258 0.0363834
1e-6 0.28e-6 10e-6 0.50e-6 0.60 0.075707 23.208 10412.3 0.999254 0.0363965
1e-6 0.28e-6 10e-6 0.50e-6 0.65 0.0706919 22.6461 9142.47 0.999248 0.036405
1e-6 0.28e-6 10e-6 0.50e-6 0.70 0.0640533 21.8426 7589.88 0.999242 0.036353
1e-6 0.28e-6 10e-6 0.50e-6 0.75 0.0552682 20.6658 5776.55 0.999237 0.03613
1e-6 0.28e-6 10e-6 0.50e-6 0.80 0.0439359 18.9134 3842.07 0.999247 0.0352546
1e-6 0.28e-6 10e-6 0.50e-6 0.85 0.0360757 17.5705 2807.07 0.999405 0.0299027
1e-6 0.28e-6 10e-6 0.50e-6 0.90 0.0517299 20.907 6109.93 0.999466 0.0295539
1e-6 0.28e-6 10e-6 0.50e-6 0.95 0.0672195 23.5113 11170.3 0.999507 0.0290983
1e-6 0.28e-6 10e-6 0.50e-6 1.00 0.0771901 25.2348 16636.4 0.999546 0.02829
1e-6 0.28e-6 10e-6 0.50e-6 1.05 0.0811429 26.4421 21984.2 0.999589 0.02715
1e-6 0.28e-6 10e-6 0.50e-6 1.10 0.0823 27.6614 29126.7 0.999638 0.0256785
1e-6 0.28e-6 10e-6 0.50e-6 1.15 0.0826254 29.138 40942.9 0.999689 0.0239837
1e-6 0.28e-6 20e-6 0.28e-6 0.55 0.109009 27.6302 28907.6 0.998902 0.0459245
1e-6 0.28e-6 20e-6 0.28e-6 0.60 0.103868 27.2241 26322.5 0.998899 0.0459406
1e-6 0.28e-6 20e-6 0.28e-6 0.65 0.0977797 26.7102 23379.5 0.998895 0.0459624
1e-6 0.28e-6 20e-6 0.28e-6 0.70 0.0902157 26.0262 19965 0.998892 0.0459517
1e-6 0.28e-6 20e-6 0.28e-6 0.75 0.0808669 25.1088 16154.2 0.99889 0.0458661
1e-6 0.28e-6 20e-6 0.28e-6 0.80 0.0695473 23.8655 12120.2 0.998891 0.0456642
1e-6 0.28e-6 20e-6 0.28e-6 0.85 0.0560106 22.111 8075.56 0.998895 0.0452705
1e-6 0.28e-6 20e-6 0.28e-6 0.90 0.0401352 19.472 4375.41 0.998909 0.0443921
1e-6 0.28e-6 20e-6 0.28e-6 0.95 0.0226984 15.1023 1568.23 0.999089 0.0385669
1e-6 0.28e-6 20e-6 0.28e-6 1.00 0.0252071 16.3375 2100.66 0.999179 0.0369437
1e-6 0.28e-6 20e-6 0.28e-6 1.05 0.0380446 20.2498 5244.27 0.999259 0.0362497
1e-6 0.28e-6 20e-6 0.28e-6 1.10 0.0518819 23.516 11181.5 0.999333 0.0350238
1e-6 0.28e-6 20e-6 0.28e-6 1.15 0.0582736 25.362 17131.2 0.999403 0.0333926
1e-6 0.28e-6 20e-6 0.36e-6 0.55 0.0946244 24.5878 14318.5 0.998386 0.0554324
1e-6 0.28e-6 20e-6 0.36e-6 0.60 0.0898829 24.1664 12989.9 0.998384 0.055411
1e-6 0.28e-6 20e-6 0.36e-6 0.65 0.0844748 23.6549 11541.1 0.998381 0.0553832
1e-6 0.28e-6 20e-6 0.36e-6 0.70 0.0779728 22.9969 9911.48 0.998379 0.0553029
1e-6 0.28e-6 20e-6 0.36e-6 0.75 0.0699809 22.1198 8089.98 0.998381 0.0551106
1e-6 0.28e-6 20e-6 0.36e-6 0.80 0.0600359 20.8989 6095.15 0.998388 0.05472
1e-6 0.28e-6 20e-6 0.36e-6 0.85 0.047475 19.0736 3986.64 0.998411 0.0538706
1e-6 0.28e-6 20e-6 0.36e-6 0.90 0.0317204 16.0764 1974.65 0.998573 0.0498191
1e-6 0.28e-6 20e-6 0.36e-6 0.95 0.0337521 16.991 2449.56 0.998861 0.0442713
1e-6 0.28e-6 20e-6 0.36e-6 1.00 0.0474295 20.3206 5330.6 0.998955 0.0433999
1e-6 0.28e-6 20e-6 0.36e-6 1.05 0.0570032 22.5285 8896.11 0.999047 0.0419224
1e-6 0.28e-6 20e-6 0.36e-6 1.10 0.059621 23.8153 11981.8 0.999145 0.0399379
1e-6 0.28e-6 20e-6 0.36e-6 1.15 0.0596808 25.0396 15900.4 0.999252 0.0375395
1e-6 0.28e-6 20e-6 0.50e-6 0.55 0.0802152 20.7267 5853.1 0.99724 0.0720889
1e-6 0.28e-6 20e-6 0.50e-6 0.60 0.0761396 20.3097 5312.65 0.997239 0.0720108
1e-6 0.28e-6 20e-6 0.50e-6 0.65 0.071667 19.8269 4748.49 0.997237 0.0719076
1e-6 0.28e-6 20e-6 0.50e-6 0.70 0.0664792 19.2332 4135.43 0.99724 0.0717185
1e-6 0.28e-6 20e-6 0.50e-6 0.75 0.0601826 18.4612 3453.79 0.997251 0.0713474
1e-6 0.28e-6 20e-6 0.50e-6 0.80 0.0522266 17.3913 2688.85 0.997283 0.0705782
1e-6 0.28e-6 20e-6 0.50e-6 0.85 0.0420825 15.8569 1873.82 0.997416 0.0681654
1e-6 0.28e-6 20e-6 0.50e-6 0.90 0.0405792 15.9653 1923.12 0.998105 0.0574522
1e-6 0.28e-6 20e-6 0.50e-6 0.95 0.0531921 18.6295 3593.95 0.99823 0.05653
1e-6 0.28e-6 20e-6 0.50e-6 1.00 0.0599333 20.193 5173.25 0.998358 0.0549128
1e-6 0.28e-6 20e-6 0.50e-6 1.05 0.0616293 21.2305 6583.1 0.998506 0.0526296
1e-6 0.28e-6 20e-6 0.50e-6 1.10 0.0615688 22.3606 8555.25 0.998682 0.0496901
1e-6 0.28e-6 20e-6 0.50e-6 1.15 0.0613504 23.8516 12080.9 0.998869 0.0463081
1e-6 0.28e-6 30e-6 0.28e-6 0.55 0.10934 25.9254 19493.4 0.997585 0.0685217
1e-6 0.28e-6 30e-6 0.28e-6 0.60 0.104328 25.5373 17822.7 0.997584 0.0684919
1e-6 0.28e-6 30e-6 0.28e-6 0.65 0.0987063 25.0757 16020.5 0.997583 0.0684582
1e-6 0.28e-6 30e-6 0.28e-6 0.70 0.0921579 24.5045 14040.1 0.997584 0.068379
1e-6 0.28e-6 30e-6 0.28e-6 0.75 0.0843875 23.78 11875.1 0.997589 0.0682066
1e-6 0.28e-6 30e-6 0.28e-6 0.80 0.075067 22.8318 9536.26 0.997602 0.0678927
1e-6 0.28e-6 30e-6 0.28e-6 0.85 0.0636982 21.5206 7038.32 0.997625 0.0673597
1e-6 0.28e-6 30e-6 0.28e-6 0.90 0.0496238 19.5598 4463.14 0.997666 0.0663939
1e-6 0.28e-6 30e-6 0.28e-6 0.95 0.0326502 16.3863 2123.53 0.997792 0.0637101
1e-6 0.28e-6 30e-6 0.28e-6 1.00 0.0235764 14.1707 1255.36 0.998285 0.0547234
1e-6 0.28e-6 30e-6 0.28e-6 1.05 0.0336051 17.5706 2805.76 0.99843 0.0534928
1e-6 0.28e-6 30e-6 0.28e-6 1.10 0.0448647 20.6506 5754.24 0.998574 0.0516734
1e-6 0.28e-6 30e-6 0.28e-6 1.15 0.0493726 22.3421 8518.67 0.998721 0.0492332
1e-6 0.28e-6 30e-6 0.36e-6 0.55 0.0948493 22.8815 9641.24 0.996461 0.082701
1e-6 0.28e-6 30e-6 0.36e-6 0.60 0.0901545 22.47 8765.27 0.996463 0.0826159
1e-6 0.28e-6 30e-6 0.36e-6 0.65 0.0849875 21.991 7844.74 0.996465 0.08251
1e-6 0.28e-6 30e-6 0.36e-6 0.70 0.0790916 21.4106 6857.08 0.996472 0.0823318
1e-6 0.28e-6 30e-6 0.36e-6 0.75 0.0721677 20.6805 5788.37 0.996488 0.0820142
1e-6 0.28e-6 30e-6 0.36e-6 0.80 0.0638087 19.7164 4626.18 0.996517 0.0814662
1e-6 0.28e-6 30e-6 0.36e-6 0.85 0.0533462 18.3426 3358.29 0.996573 0.0804809
1e-6 0.28e-6 30e-6 0.36e-6 0.90 0.0399573 16.2078 2034.97 0.996723 0.0780544
1e-6 0.28e-6 30e-6 0.36e-6 0.95 0.030891 14.5947 1388.75 0.997575 0.0658292
1e-6 0.28e-6 30e-6 0.36e-6 1.00 0.0418995 17.6026 2825.98 0.997767 0.0641905
1e-6 0.28e-6 30e-6 0.36e-6 1.05 0.049378 19.6386 4546.44 0.997952 0.06199
1e-6 0.28e-6 30e-6 0.36e-6 1.10 0.0505682 20.7577 5897.9 0.998158 0.0590208
1e-6 0.28e-6 30e-6 0.36e-6 1.15 0.0499011 21.8889 7668.39 0.998387 0.0554337
1e-6 0.28e-6 30e-6 0.50e-6 0.55 0.0803323 19.0277 3935.65 0.993971 0.107482
1e-6 0.28e-6 30e-6 0.50e-6 0.60 0.076228 18.6119 3571.79 0.993979 0.107315
1e-6 0.28e-6 30e-6 0.50e-6 0.65 0.0718022 18.1402 3199.08 0.993989 0.107101
1e-6 0.28e-6 30e-6 0.50e-6 0.70 0.0668569 17.5836 2808.32 0.994009 0.106773
1e-6 0.28e-6 30e-6 0.50e-6 0.75 0.0611212 16.8968 2390.3 0.994047 0.106227
1e-6 0.28e-6 30e-6 0.50e-6 0.80 0.0541957 15.9998 1935.03 0.99412 0.105274
1e-6 0.28e-6 30e-6 0.50e-6 0.85 0.0455008 14.7511 1439.22 0.994291 0.103249
1e-6 0.28e-6 30e-6 0.50e-6 0.90 0.0402138 14.1803 1256.78 0.995851 0.086867
1e-6 0.28e-6 30e-6 0.50e-6 0.95 0.0471495 15.9269 1903.97 0.9962 0.0837678
1e-6 0.28e-6 30e-6 0.50e-6 1.00 0.0521767 17.3267 2647.29 0.996456 0.0813787
1e-6 0.28e-6 30e-6 0.50e-6 1.05 0.0525183 18.1816 3234.56 0.996768 0.0779678
1e-6 0.28e-6 30e-6 0.50e-6 1.10 0.0516707 19.1886 4092.32 0.997144 0.0735791
1e-6 0.28e-6 30e-6 0.50e-6 1.15 0.0511006 20.636 5731.77 0.997546 0.0685296
1e-6 0.36e-6 0.66e-6 0.28e-6 0.55 0.0836606 39.4443 439900 0.999996 0.00206424
1e-6 0.36e-6 0.66e-6 0.28e-6 0.60 0.0725116 37.8827 307025 0.999995 0.00215256
1e-6 0.36e-6 0.66e-6 0.28e-6 0.65 0.0514484 34.3556 136261 0.999993 0.00228576
1e-6 0.36e-6 0.66e-6 0.28e-6 0.70 0.0330288 29.7924 47616.1 0.999989 0.00244452
1e-6 0.36e-6 0.66e-6 0.28e-6 0.75 0.0219323 25.5851 18041.6 0.999983 0.00256823
1e-6 0.36e-6 0.66e-6 0.28e-6 0.80 0.0164234 22.5992 9046.73 0.999976 0.00255993
1e-6 0.36e-6 0.66e-6 0.28e-6 0.85 0.0306376 27.4529 27763.8 0.999983 0.00287372
1e-6 0.36e-6 0.66e-6 0.28e-6 0.90 0.0502925 31.3038 67457.1 0.999987 0.00308296
1e-6 0.36e-6 0.66e-6 0.28e-6 0.95 0.0730841 34.3304 135472 0.999989 0.00315461
1e-6 0.36e-6 0.66e-6 0.28e-6 1.00 0.0983548 36.8271 240765 0.99999 0.00317957
1e-6 0.36e-6 0.66e-6 0.28e-6 1.05 0.122413 38.7231 372578 0.999991 0.00318006
1e-6 0.36e-6 0.66e-6 0.28e-6 1.10 0.139687 39.9214 490982 0.999992 0.00316192
1e-6 0.36e-6 0.66e-6 0.28e-6 1.15 0.150014 40.6384 579119 0.999992 0.00312672
1e-6 0.36e-6 0.66e-6 0.36e-6 0.55 0.0745449 36.8371 241320 0.999994 0.00238108
1e-6 0.36e-6 0.66e-6 0.36e-6 0.60 0.0660349 35.5737 180393 0.999993 0.00246798
1e-6 0.36e-6 0.66e-6 0.36e-6 0.65 0.0488558 32.5849 90618.5 0.99999 0.00259831
1e-6 0.36e-6 0.66e-6 0.36e-6 0.70 0.0317309 28.3556 34189.8 0.999986 0.00274547
1e-6 0.36e-6 0.66e-6 0.36e-6 0.75 0.0199252 23.9167 12270.9 0.999978 0.00267498
1e-6 0.36e-6 0.66e-6 0.36e-6 0.80 0.0319677 27.5221 28210.6 0.999983 0.00293772
1e-6 0.36e-6 0.66e-6 0.36e-6 0.85 0.0558506 31.8503 76510.2 0.999986 0.00323279
1e-6 0.36e-6 0.66e-6 0.36e-6 0.90 0.0810195 34.7952 150782 0.999988 0.00334503
1e-6 0.36e-6 0.66e-6 0.36e-6 0.95 0.10439 36.8918 244375 0.999989 0.00338967
1e-6 0.36e-6 0.66e-6 0.36e-6 1.00 0.123062 38.3276 340149 0.99999 0.00339724
1e-6 0.36e-6 0.66e-6 0.36e-6 1.05 0.135711 39.2652 422124 0.999991 0.00337841
1e-6 0.36e-6 0.66e-6 0.36e-6 1.10 0.14413 39.9446 493610 0.999991 0.00333643
1e-6 0.36e-6 0.66e-6 0.36e-6 1.15 0.150982 40.5557 568202 0.999992 0.00327438
1e-6 0.36e-6 0.66e-6 0.50e-6 0.55 0.0657331 33.4793 111353 0.999989 0.00293759
1e-6 0.36e-6 0.66e-6 0.50e-6 0.60 0.060336 32.6265 91492.3 0.999988 0.00302206
1e-6 0.36e-6 0.66e-6 0.50e-6 0.65 0.0481091 30.4656 55607.9 0.999985 0.00314617
1e-6 0.36e-6 0.66e-6 0.50e-6 0.70 0.0325393 26.8745 24295.8 0.999979 0.00324792
1e-6 0.36e-6 0.66e-6 0.50e-6 0.75 0.0301572 25.9721 19728 0.999978 0.00312791
1e-6 0.36e-6 0.66e-6 0.50e-6 0.80 0.0585044 31.3125 67592.6 0.999984 0.0035044
1e-6 0.36e-6 0.66e-6 0.50e-6 0.85 0.0847262 34.2116 131814 0.999986 0.00369159
1e-6 0.36e-6 0.66e-6 0.50e-6 0.90 0.105932 36.0313 200441 0.999987 0.00377358
1e-6 0.36e-6 0.66e-6 0.50e-6 0.95 0.121754 37.2541 265642 0.999987 0.00380114
1e-6 0.36e-6 0.66e-6 0.50e-6 1.00 0.132901 38.1404 325789 0.999988 0.00378939
1e-6 0.36e-6 0.66e-6 0.50e-6 1.05 0.140703 38.8636 384837 0.999989 0.00374544
1e-6 0.36e-6 0.66e-6 0.50e-6 1.10 0.146674 39.5482 450543 0.99999 0.00367213
1e-6 0.36e-6 0.66e-6 0.50e-6 1.15 0.152059 40.2479 529323 0.99999 0.0035756
1e-6 0.36e-6 2e-6 0.28e-6 0.55 0.0994303 36.5789 227384 0.999982 0.0051224
1e-6 0.36e-6 2e-6 0.28e-6 0.60 0.0931012 35.9058 194730 0.999981 0.00520456
